,median_transaction_feeUSD,hashrate,sentinusdUSD,difficulty,priceUSD
117,0.0,50851677595.0,9427.0,4536.0,0.227
118,0.0,42843968338.0,8374.0,4536.0,0.249
119,0.0,43880907479.0,10727.0,4536.0,0.282
120,0.0,54684480053.0,9828.0,4536.0,0.278
121,0.0,50114217455.0,71685.0,4536.0,0.274
122,0.0,43347571863.0,92863.0,4536.0,0.246
123,0.0,52089200697.0,14059.0,4536.0,0.226
124,0.0,63645206178.0,14574.0,4917.0,0.245
125,0.0,68811370966.0,14913.0,6867.0,0.274
126,0.0,42304498447.0,44788.0,6867.0,0.282
127,0.0,45902824334.0,34853.0,6867.0,0.277
128,0.0,52328619860.0,8797.0,6867.0,0.28
129,0.0,51384598983.0,12053.0,6867.0,0.28300000000000003
130,0.0,56362618925.0,10925.0,6867.0,0.28300000000000003
131,0.0,54446529924.0,14232.0,6867.0,0.281
132,0.0,67425767018.0,25101.0,6867.0,0.282
133,0.0,65849479831.0,6888.0,6867.0,0.284
134,0.0,57569464040.0,6714.0,6867.0,0.277
135,0.0,66016916855.0,8827.0,6867.0,0.254
136,0.0,76929526491.0,13088.0,7167.0,0.219
137,0.0,72899818026.0,12027.0,8078.0,0.219
138,0.0,78406952216.0,14793.0,8078.0,0.242
139,0.0,76525043468.0,6910.0,8078.0,0.251
140,0.0,85742230088.0,14998.0,8078.0,0.23
141,0.0,93193339952.0,4392.0,8078.0,0.205
142,0.0,96876766484.0,20598.0,8078.0,0.215
143,0.0,92537558498.0,18534.0,8078.0,0.213
144,0.0,96482613877.0,7098.0,8078.0,0.239
145,0.0,101807213091.0,9051.0,8228.0,0.213
146,0.0,104157492141.0,5382.0,12252.0,0.202
147,0.0,99058345713.0,17203.0,12252.0,0.21600000000000005
148,0.0,107530636169.0,10227.0,12252.0,0.214
149,0.0,98003509103.0,39314.0,12252.0,0.22
150,0.0,94578789518.0,27659.0,12252.0,0.238
151,0.0,109766125955.0,27336.0,12252.0,0.242
152,0.0,113501445626.0,20675.0,12252.0,0.244
153,0.0,106896789204.0,15425.0,12252.0,0.245
154,0.0,98205138442.0,20367.0,12252.0,0.245
155,0.0,103273410661.0,23922.0,12252.0,0.244
156,0.0,108518143855.0,21078.0,12252.0,0.254
157,0.0,112070125172.0,25401.0,12607.0,0.25
158,0.0,128626054721.0,20433.0,14484.0,0.247
159,0.0,104290306148.0,15665.0,14484.0,0.249
160,0.0,107023126448.0,15041.0,14484.0,0.249
161,0.0,113170756356.0,28003.0,14484.0,0.249
162,0.0,108554679106.0,18032.0,14484.0,0.257
163,0.0,112067203941.0,23612.0,14484.0,0.258
164,0.0,125482592137.0,15401.0,14484.0,0.272
165,0.0,121622346218.0,31647.0,14484.0,0.28600000000000003
166,0.0,117257266251.0,19089.0,14484.0,0.29600000000000004
167,0.0,119937610770.0,17825.0,14484.0,0.3
168,0.0,124982974311.0,16353.0,14484.0,0.29600000000000004
169,0.0,129060108832.0,13843.0,14484.0,0.297
170,0.0,136172171732.0,19774.0,15910.0,0.293
171,0.0,118021531818.0,11956.0,16307.0,0.297
172,0.0,119469611458.0,14555.0,16307.0,0.294
173,0.0,126682369770.0,9547.0,16307.0,0.299
